interaction_id,date,channel,agent_id,agent_name,wait_time_seconds,handle_time_seconds,status,mes,sla_ok,performance_level
1,2024-02-02,Chat,3,Agent_C,118,791,Attended,February,False,Crítico
2,2024-01-22,Chat,3,Agent_C,109,0,Abandoned,January,False,Excelente
3,2024-02-29,Chat,4,Agent_D,99,0,Abandoned,February,False,Excelente
4,2024-01-23,Email,5,Agent_E,92,0,Abandoned,January,False,Excelente
5,2024-01-01,Call,1,Agent_A,59,508,Attended,January,True,Crítico
6,2024-02-19,Email,4,Agent_D,53,185,Attended,February,True,Excelente
7,2024-01-27,Email,1,Agent_A,14,0,Abandoned,January,True,Excelente
8,2024-01-03,Call,5,Agent_E,81,0,Abandoned,January,False,Excelente
9,2024-02-27,Email,2,Agent_B,59,83,Attended,February,True,Excelente
10,2024-02-14,Call,2,Agent_B,14,0,Abandoned,February,True,Excelente
11,2024-02-09,Email,2,Agent_B,17,0,Abandoned,February,True,Excelente
12,2024-01-19,Email,4,Agent_D,94,804,Attended,January,False,Crítico
13,2024-01-31,Call,1,Agent_A,26,0,Abandoned,January,True,Excelente
14,2024-02-23,Email,3,Agent_C,44,346,Attended,February,True,Crítico
15,2024-01-12,Email,4,Agent_D,86,163,Attended,January,False,Excelente
16,2024-02-29,Email,2,Agent_B,101,0,Abandoned,February,False,Excelente
17,2024-02-26,Chat,5,Agent_E,93,0,Abandoned,February,False,Excelente
18,2024-02-18,Email,1,Agent_A,94,878,Attended,February,False,Crítico
19,2024-02-07,Email,2,Agent_B,46,0,Abandoned,February,True,Excelente
20,2024-01-02,Email,5,Agent_E,13,0,Abandoned,January,True,Excelente
21,2024-02-07,Call,1,Agent_A,52,865,Attended,February,True,Crítico
22,2024-02-06,Email,3,Agent_C,27,265,Attended,February,True,Crítico
23,2024-02-04,Chat,5,Agent_E,15,0,Abandoned,February,True,Excelente
24,2024-01-15,Chat,1,Agent_A,20,759,Attended,January,True,Crítico
25,2024-01-03,Chat,2,Agent_B,28,0,Abandoned,January,True,Excelente
26,2024-02-17,Call,4,Agent_D,119,0,Abandoned,February,False,Excelente
27,2024-01-26,Call,4,Agent_D,22,424,Attended,January,True,Crítico
28,2024-01-25,Call,1,Agent_A,88,0,Abandoned,January,False,Excelente
29,2024-01-16,Email,2,Agent_B,39,0,Abandoned,January,True,Excelente
30,2024-01-04,Call,3,Agent_C,120,243,Attended,January,False,Bueno
31,2024-01-18,Chat,4,Agent_D,101,665,Attended,January,False,Crítico
32,2024-02-06,Email,5,Agent_E,107,0,Abandoned,February,False,Excelente
33,2024-02-04,Email,1,Agent_A,77,0,Abandoned,February,False,Excelente
34,2024-01-01,Call,5,Agent_E,5,243,Attended,January,True,Bueno
35,2024-02-25,Call,4,Agent_D,102,0,Abandoned,February,False,Excelente
36,2024-02-17,Call,4,Agent_D,92,553,Attended,February,False,Crítico
37,2024-01-15,Email,4,Agent_D,49,641,Attended,January,True,Crítico
